Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
1177,Samurai Jack: Battle Through Time,PS4,2020,Action-Adventure,Adult Swim  ,Soleil Software Studio Inc.  ,,,,,,,
1178,Samurai Jack: Battle Through Time,XOne,2020,Action-Adventure,Adult Swim  ,Soleil Software Studio Inc.  ,,,,,,,
1179,Scarface: The World Is Yours,All,2006,Action-Adventure,Sierra Entertainment  ,Radical Entertainment  ,,,,,,,
1180,Scavengers,PC,N/A,Action-Adventure,Unknown  ,Midwinter  ,,,,,,,
1181,Sea of Thieves,XS,N/A,Action-Adventure,Unknown  ,Rare Ltd.  ,,,,,,,
1182,Sea of Thieves: A Pirate's Life,PC,N/A,Action-Adventure,Unknown  ,Rare Ltd.  ,,,,,,,
1183,Sea of Thieves: A Pirate's Life,XS,N/A,Action-Adventure,Unknown  ,Rare Ltd.  ,,,,,,,
1184,Sea of Thieves: A Pirate's Life,XOne,N/A,Action-Adventure,Unknown  ,Rare Ltd.  ,,,,,,,
1185,Secret Neighbor,PC,2019,Action-Adventure,TinyBuild Games  ,Dynamic Pixels  ,,,,,,,
1186,Secret Neighbor,XOne,2019,Action-Adventure,TinyBuild Games  ,Dynamic Pixels  ,,,,,,,
1187,Senua's Saga: Hellblade 2,PC,2021,Action-Adventure,Xbox Game Studios  ,Ninja Theory  ,,,,,,,
1188,Senua's Saga: Hellblade 2,XS,2021,Action-Adventure,Xbox Game Studios  ,Ninja Theory  ,,,,,,,
1189,Shadow of the Tomb Raider,PC,2018,Action-Adventure,Square Enix  ,Eidos Montreal  ,,,,,,,
1190,Shakedown: Hawaii,WiiU,2020,Action-Adventure,Vblank Entertainment Inc.  ,Vblank Entertainment Inc.  ,,,,,,,
1191,Shakedown: Hawaii,Wii,N/A,Action-Adventure,Unknown  ,Vblank Entertainment Inc.  ,,,,,,,
1192,Shenmue I & II,PC,2018,Action-Adventure,Sega  ,Sega  ,,,,,,,
1193,Shenmue III,PS4,2019,Action-Adventure,Deep Silver  ,Ys Net  ,,,,,,,
1194,Shenmue III,PC,2019,Action-Adventure,Deep Silver  ,Ys Net  ,,,,,,,
1195,Shinsekai: Into the Depths,NS,N/A,Action-Adventure,Unknown  ,Capcom  ,,,,,,,
1196,Shinsekai: Into the Depths,iOS,N/A,Action-Adventure,Unknown  ,Capcom  ,,,,,,,
1197,Sinister Assistant,WiiU,2019,Action-Adventure,Ultra Dolphin Revolution  ,Ultra Dolphin Revolution  ,,,,,,,
1198,Skull & Bones,PC,2020,Action-Adventure,Ubisoft  ,Ubisoft Singapore  ,,,,,,,
1199,Skull & Bones,PS4,2020,Action-Adventure,Ubisoft  ,Ubisoft Singapore  ,,,,,,,
1200,Skull & Bones,XOne,2020,Action-Adventure,Ubisoft  ,Ubisoft Singapore  ,,,,,,,
1201,Smelter,NS,N/A,Action-Adventure,Unknown  ,X Plus Company Limited  ,,,,,,,
1202,Smelter,PC,N/A,Action-Adventure,Unknown  ,X Plus Company Limited  ,,,,,,,
1203,Smelter,PS4,N/A,Action-Adventure,Unknown  ,X Plus Company Limited  ,,,,,,,
1204,Smelter,XOne,N/A,Action-Adventure,Unknown  ,X Plus Company Limited  ,,,,,,,
1205,Solar Ash,PS5,2021,Action-Adventure,Annapurna Interactive  ,Heart Machine  ,,,,,,,
1206,Solar Ash,PC,2021,Action-Adventure,Annapurna Interactive  ,Heart Machine  ,,,,,,,
1207,Solar Ash,PS4,2021,Action-Adventure,Annapurna Interactive  ,Heart Machine  ,,,,,,,
1208,Soulstice,XS,N/A,Action-Adventure,Unknown  ,Reply Game Studios  ,,,,,,,
1209,Soulstice,PC,N/A,Action-Adventure,Unknown  ,Reply Game Studios  ,,,,,,,
1210,Soulstice,PS5,N/A,Action-Adventure,Unknown  ,Reply Game Studios  ,,,,,,,
1211,Space Pilgrim Episode III: Delta Pavonis,PC,N/A,Action-Adventure,Unknown  ,Pilgrim Adventures  ,,,,,,,
1212,Sparklite,NS,N/A,Action-Adventure,Unknown  ,Red Blue Games  ,,,,,,,
1213,Sparklite,PC,N/A,Action-Adventure,Unknown  ,Red Blue Games  ,,,,,,,
1214,Sparklite,PS4,N/A,Action-Adventure,Unknown  ,Red Blue Games  ,,,,,,,
1215,Sparklite,XOne,N/A,Action-Adventure,Unknown  ,Red Blue Games  ,,,,,,,
1216,Spelunky 2,PS4,2020,Action-Adventure,BlitWorks  ,"Mossmouth, LLC  ",,,,,,,
1217,Spelunky 2,PC,2020,Action-Adventure,BlitWorks  ,"Mossmouth, LLC  ",,,,,,,
1218,Spheroids,WiiU,N/A,Action-Adventure,Unknown  ,Eclipse Games  ,,,,,,,
1219,Sphinx and the Cursed Mummy,Linux,2017,Action-Adventure,THQ Nordic  ,Eurocom  ,,,,,,,
1220,Sphinx and the Cursed Mummy,PC,2017,Action-Adventure,THQ Nordic  ,Eurocom  ,,,,,,,
1221,Sphinx and the Cursed Mummy,NS,2019,Action-Adventure,THQ Nordic  ,Eurocom  ,,,,,,,
1222,Spirit of the North,PS4,N/A,Action-Adventure,Unknown  ,Infuse Studio  ,,,,,,,
1223,Star Child,XOne,N/A,Action-Adventure,Unknown  ,Playful Corp.  ,,,,,,,
1224,Star Child,PS4,N/A,Action-Adventure,Unknown  ,Playful Corp.  ,,,,,,,
1225,Star Control 3,All,1996,Action-Adventure,Accolade  ,Legend Entertainment  ,,,,,,,
1226,Star Fox 64,WiiU,N/A,Action-Adventure,Unknown  ,Nintendo  ,,,,,,,
1227,Star Wars Jedi: Fallen Order,PC,2019,Action-Adventure,Electronic Arts  ,Respawn Entertainment  ,,,,,,,
1228,Star Wars Jedi: Fallen Order,PS4,2019,Action-Adventure,Electronic Arts  ,Respawn Entertainment  ,,,,,,,
1229,Star Wars Jedi: Fallen Order,XOne,2019,Action-Adventure,Electronic Arts  ,Respawn Entertainment  ,,,,,,,
1230,Starlink: Battle for Atlas,PC,2019,Action-Adventure,Ubisoft  ,Ubisoft  ,,,,,,,
1231,State of Decay 2,PC,2018,Action-Adventure,Microsoft Studios  ,Undead Labs  ,,,,,,,
1232,State of Decay 3,PC,2020,Action-Adventure,Xbox Game Studios  ,Undead Labs  ,,,,,,,
1233,State of Decay 3,XS,2020,Action-Adventure,Xbox Game Studios  ,Undead Labs  ,,,,,,,
1234,State of Decay: Year One Survival Edition,PC,2016,Action-Adventure,Nordic Games  ,Undead Labs  ,,,,,,,
1235,Stray,PC,2021,Action-Adventure,Annapurna Interactive  ,Blue Twelve Studio  ,,,,,,,
1236,Stray,PS4,2021,Action-Adventure,Annapurna Interactive  ,Blue Twelve Studio  ,,,,,,,
1237,Subnautica: Below Zero,XOne,N/A,Action-Adventure,Unknown  ,Unknown Worlds Entertainment  ,,,,,,,
1238,Subnautica: Below Zero,XS,N/A,Action-Adventure,Unknown  ,Unknown Worlds Entertainment  ,,,,,,,
1239,Subnautica: Below Zero,NS,N/A,Action-Adventure,Unknown  ,Unknown Worlds Entertainment  ,,,,,,,
