Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
69,Bit Heroes,PC,2017,MMO,Kongregate  ,Juppiomenz  ,,,,,,,
70,Black Desert,XOne,2019,MMO,Pearl Abyss  ,Pearl Abyss  ,,,,,,,
71,Bless Unleashed,PC,2021,MMO,Neowiz Corporation  ,Round8 Studio  ,,,,,,,
72,Bless Unleashed,PS4,2020,MMO,Neowiz Corporation  ,Round8 Studio  ,,,,,,,
73,Bless Unleashed,XOne,2020,MMO,Neowiz Corporation  ,Round8 Studio  ,,,,,,,
74,Blue Protocol,PC,2020,MMO,Bandai Namco Entertainment  ,Bandai Namco Games  ,,,,,,,
75,Closers,PS4,2020,MMO,En Masse Entertainment  ,Naddic Games  ,,,,,,,
76,Closers,PC,2016,MMO,En Masse Entertainment  ,Naddic Games  ,,,,,,,
77,Dragon Quest X: All in One Package Ver.1-4,PC,2018,MMO,Square Enix  ,Square Enix  ,,,,,,,
78,Dragon Quest X: All in One Package Ver.1-4,WiiU,2018,MMO,Square Enix  ,Square Enix  ,,,,,,,
79,Everspace,NS,N/A,MMO,Unknown  ,Rockfish Games  ,,,,,,,
80,Final Fantasy XIV: Shadowbringers,PC,2019,MMO,Square Enix  ,Square Enix  ,,,,,,,
81,Final Fantasy XIV: Shadowbringers,PS4,2019,MMO,Square Enix  ,Square Enix  ,,,,,,,
82,Heaven Forest - VR MMO,PC,2016,MMO,Chubby Pixel  ,Fabio Ferrara  ,,,,,,,
83,Last Oasis,PC,2019,MMO,Donkey Crew  ,Donkey Crew  ,,,,,,,
84,Magic: Legends,PC,2020,MMO,Perfect World Entertainment  ,Cryptic Studios  ,,,,,,,
85,New World,PC,2021,MMO,Amazon Game Studios  ,Amazon Game Studios  ,,,,,,,
86,Phantasy Star Online 2: Cloud,NS,2018,MMO,Sega  ,Sega  ,,,,,,,
87,Phantasy Star Online 2: New Genesis,NS,N/A,MMO,Unknown  ,Sega  ,,,,,,,
88,Phantasy Star Online 2: New Genesis,PC,2021,MMO,Sega  ,Sega  ,,,,,,,
89,Phantasy Star Online 2: New Genesis,PS4,N/A,MMO,Unknown  ,Sega  ,,,,,,,
90,Phantasy Star Online 2: New Genesis,XOne,2021,MMO,Sega  ,Sega  ,,,,,,,
91,Phantasy Star Online 2: New Genesis,XS,2021,MMO,Sega  ,Sega  ,,,,,,,
92,Starbase,PC,2019,MMO,Frozenbyte  ,Frozenbyte  ,,,,,,,
93,The Elder Scrolls Online: Greymoor,PC,2020,MMO,Bethesda Softworks  ,ZeniMax Online Studios  ,,,,,,,
94,The Elder Scrolls Online: Greymoor,PS4,2020,MMO,Bethesda Softworks  ,ZeniMax Online Studios  ,,,,,,,
95,The Elder Scrolls Online: Greymoor,XOne,2020,MMO,Bethesda Softworks  ,ZeniMax Online Studios  ,,,,,,,
96,The Elder Scrolls Online: Tamriel Unlimited,PC,2015,MMO,Bethesda Softworks  ,ZeniMax Online Studios  ,,,,,,,
97,Trove,PC,N/A,MMO,Unknown  ,Trion Worlds  ,,,,,,,
98,Warspear Online,PC,2017,MMO,AIGRIND  ,AIGRIND  ,,,,,,,
99,World of Warcraft: Classic,PC,2019,MMO,Blizzard Entertainment  ,Blizzard Entertainment  ,,,,,,,
100,Worlds Adrift,PC,2017,MMO,Bossa Studios  ,Bossa Studios  ,,8.6,,,,,
