Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
183,Naruto: Clash of Ninja Revolution,Wii,2007,Fighting,Tomy Corporation  ,8ting/Raizing  ,,,0.44,0.46,,0.11,1.02
184,Naruto Shippuden: Ultimate Ninja Storm 2,PS3,2010,Fighting,Namco Bandai  ,CyberConnect2  ,7.3,,0.42,0.47,0.15,0.17,1.21
185,Dead or Alive 2,PS2,2000,Fighting,Tecmo  ,Team Ninja  ,,,0.3,0.24,0.38,0.08,1.0
186,UFC Undisputed 3,X360,2012,Fighting,THQ  ,Yukie's Osaka  ,,,0.72,0.2,0.0,0.08,1.0
187,Mortal Kombat: Armageddon,All,2006,Fighting,Midway Games  ,Midway Games  ,,,,,,,
188,Mortal Kombat: Shaolin Monks,All,2005,Fighting,Midway Games  ,Midway  ,,,,,,,
189,Naruto Shippuden: Ultimate Ninja Storm Revolution,All,2014,Fighting,Bandai Namco Games  ,CyberConnect2  ,,,,,,,
190,Pokken Tournament,WiiU,2016,Fighting,Nintendo  ,Namco Bandai Games  ,7.6,,0.68,0.4,0.18,0.11,1.37
191,SoulCalibur,DC,1999,Fighting,Namco  ,Namco  ,9.6,,,,0.34,0.0,0.34
192,Street Fighter Alpha 3,PS,1999,Fighting,Capcom  ,Capcom  ,8.4,,0.38,0.12,0.51,0.02,1.03
193,Tekken,PS,1995,Fighting,Namco  ,Namco  ,8.3,,0.95,1.3,0.77,0.22,3.24
194,SoulCalibur II,XB,2003,Fighting,Namco  ,Namco  ,,,0.78,0.18,0.03,0.0,1.0
195,PlayStation All-Stars Battle Royale,PS3,2012,Fighting,Sony Computer Entertainment  ,SuperBot Entertainment  ,,,0.5,0.28,0.04,0.16,0.99
196,WWE 2K19,PS4,2018,Fighting,2K Sports  ,Visual Concepts  ,,,0.36,0.46,,0.16,0.98
197,Naruto: Ultimate Ninja 3,PS2,2008,Fighting,Namco Bandai  ,CyberConnect2  ,,,,,0.36,,0.36
198,WWE SmackDown vs Raw 2008,Wii,2007,Fighting,THQ  ,Yuke's Media Creations  ,,,0.38,0.5,,0.11,0.98
199,Injustice: Gods Among Us Ultimate Edition,PS4,2013,Fighting,Warner Bros. Interactive Entertainment  ,NetherRealm Studios  ,,,0.46,0.35,,0.17,0.98
200,Mortal Kombat Trilogy,N64,1996,Fighting,Midway Games  ,Point of View Inc.  ,,,0.72,0.22,,0.02,0.96
201,Mortal Kombat: Deadly Alliance,XB,2002,Fighting,Midway Games  ,Midway  ,,,0.77,0.15,,0.04,0.96
202,WWE SmackDown vs. Raw 2009,PS3,2008,Fighting,THQ  ,Yuke's Media Creations  ,,,0.51,0.3,0.01,0.12,0.94
203,Knockout Kings 2000,N64,1999,Fighting,EA Sports  ,Black Ops Entertainment  ,,,0.63,0.27,,0.02,0.92
204,WWE SmackDown vs. Raw 2009,X360,2008,Fighting,THQ  ,Yuke's Media Creations  ,7.8,,0.58,0.26,,0.08,0.92
205,Tobal No.1,PS,1996,Fighting,Sony Computer Entertainment  ,DreamFactory  ,7.7,,0.12,0.08,0.66,0.06,0.92
206,Injustice 2,XOne,2017,Fighting,Warner Bros. Interactive Entertainment  ,NetherRealm Studios  ,,,0.65,0.16,,0.09,0.89
207,Dissidia 012: Duodecim Final Fantasy,PSP,2011,Fighting,Square Enix  ,Square Enix  ,8.3,,0.21,0.13,0.46,0.09,0.89
208,WWE SmackDown vs. Raw 2011,X360,2010,Fighting,THQ  ,JAKKS Pacific  ,7.1,,0.44,0.35,0.0,0.08,0.88
209,Fight Night Round 2,PS2,2005,Fighting,EA Sports  ,EA Sports  ,,,0.72,0.03,,0.12,0.87
210,Rocky,PS2,2002,Fighting,Ubisoft  ,Rage Software  ,,,0.42,0.33,,0.11,0.86
211,Street Fighter Alpha 2,PS,1996,Fighting,Capcom  ,Capcom  ,8.2,,0.14,0.09,0.57,0.06,0.85
212,Dragon Ball Z: Burst Limit,PS3,2008,Fighting,Atari  ,Dimps Corporation  ,7.3,,0.22,0.34,0.18,0.12,0.85
213,Street Fighter EX3,PS2,2000,Fighting,Capcom  ,Arika  ,,,0.32,0.25,0.2,0.08,0.85
214,Street Fighter X Tekken,PS3,2012,Fighting,Capcom  ,Capcom  ,,,0.42,0.22,0.1,0.1,0.84
215,WWE SmackDown vs. Raw 2009,Wii,2008,Fighting,THQ  ,Yuke's Media Creations  ,8.2,,0.44,0.31,,0.08,0.83
216,Dragon Ball: Raging Blast 2,PS3,2010,Fighting,Namco Bandai  ,Spike  ,6.0,,0.43,0.19,0.11,0.1,0.83
217,Dragon Ball: Xenoverse,PC,2015,Fighting,Namco Bandai Games  ,Dimps Corporation  ,,,,,,,
218,Killer Instinct Gold,N64,1996,Fighting,Nintendo  ,Rare Ltd.  ,,,0.61,0.19,,0.01,0.82
219,Ready 2 Rumble Boxing: Round 2,PS2,2000,Fighting,Midway Games  ,Midway Games  ,7.9,,0.4,0.31,,0.1,0.81
220,WCW Mayhem,N64,1999,Fighting,Electronic Arts  ,Kodiak Interactive  ,,,0.63,0.15,,0.01,0.79
221,Fight Night Champion,X360,2011,Fighting,EA Sports  ,EA Canada  ,8.4,,0.4,0.31,,0.07,0.78
222,Naruto Shippuden: Ultimate Ninja Storm 2,X360,2010,Fighting,Namco Bandai  ,CyberConnect2  ,7.6,,0.43,0.27,0.01,0.07,0.78
223,Marvel vs. Capcom: Clash of Super Heroes,PS,2000,Fighting,Capcom  ,Capcom  ,,,0.43,0.3,,0.05,0.78
224,Marvel Nemesis: Rise of the Imperfects,PS2,2005,Fighting,Electronic Arts  ,Nihilistic Software  ,,,0.64,0.02,,0.1,0.77
225,Boxing,2600,1980,Fighting,Activision  ,Activision  ,,,0.72,0.04,,0.01,0.77
