Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
98,Pooh's Party Game: In Search of the Treasure,PS,2001,Party,Disney Interactive Studios  ,Doki Denki  ,,,,,,,
99,Rabbids: Adventure Party,NS,2020,Party,Ubisoft  ,Ubisoft  ,,,,,,,
100,Schlag den Star,PS4,2017,Party,bitComposer Games  ,Lost The Game Studio  ,,,,,,,
101,Schlag den Star,NS,2017,Party,bitComposer Games  ,Lost The Game Studio  ,,,,,,,
102,Scribble,WiiU,N/A,Party,Unknown  ,TBD  ,,,,,,,
103,Shrek: Treasure Hunt,PS,2002,Party,TDK Mediactive  ,The Code Monkeys  ,,,,,,,
104,Slam Land,PS4,N/A,Party,Unknown  ,Bread Machine Games  ,,,,,,,
105,Slam Land,PC,N/A,Party,Unknown  ,Bread Machine Games  ,,,,,,,
106,Slam Land,NS,N/A,Party,Unknown  ,Bread Machine Games  ,,,,,,,
107,Super Rocket Shootout,NS,2018,Party,Plug In Digital  ,Oddly Shaped Pixels  ,,,,,,,
108,The Jackbox Party Pack,NS,2017,Party,Jackbox Games  ,Jackbox Games  ,,,,,,,
109,The Jackbox Party Pack 2,NS,2017,Party,Jackbox Games  ,Jackbox Games  ,,,,,,,
110,The Jackbox Party Pack 3,NS,2017,Party,Jackbox Games  ,Jackbox Games  ,,,,,,,
111,The Jackbox Party Pack 4,NS,2017,Party,Jackbox Games  ,Jackbox Games  ,,,,,,,
112,The Jackbox Party Pack 5,NS,2018,Party,Jackbox Games  ,Jackbox Games  ,,,,,,,
113,The Jackbox Party Pack 5,PC,2018,Party,Jackbox Games  ,Jackbox Games  ,,,,,,,
114,The Playroom,PS4,2013,Party,Sony Computer Entertainment  ,SCE Japan Studio  ,,,,,,,
115,The Playroom VR,PS4,2016,Party,Sony Interactive Entertainment  ,SIE Japan Studio  ,,,,,,,
116,Use Your Words,NS,2017,Party,"Smiling Buddha Games, LLC.  ","Smiling Buddha Games, LLC.  ",,,,,,,
117,Use Your Words,WiiU,N/A,Party,Unknown  ,"Smiling Buddha Games, LLC.  ",,,,,,,
118,WarioWare: Get It Together!,NS,N/A,Party,Unknown  ,Nintendo  ,,,,,,,
119,WinKings,WiiU,N/A,Party,Unknown  ,TBD  ,,,,,,,
120,You Don't Know Jack,Series,1995,Party,Berkeley Systems  ,Berkeley Systems  ,,,,,,,
121,You Don't Know Jack (1995),All,1995,Party,Berkeley Systems  ,Jellyvision  ,,,,,,,
