Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
2244,Mega Man,PC,1990,Platform,Capcom  ,Capcom  ,,,,,,,
2245,Mega Man,PSN,2011,Platform,Sony Computer Entertainment  ,Capcom  ,,,,,,,
2246,Mega Man,VC,2008,Platform,Capcom  ,Capcom  ,,,,,,,
2247,Mega Man 10,XBL,2010,Platform,Capcom  ,Inti Creates  ,8.4,,,,,,
2248,Mega Man 10,WW,2010,Platform,Capcom  ,Inti Creates  ,8.3,,,,,,
2249,Mega Man 10,PSN,2010,Platform,Capcom  ,Inti Creates  ,7.9,,,,,,
2250,Mega Man 2,PSN,2011,Platform,Sony Computer Entertainment  ,Capcom  ,,,,,,,
2251,Mega Man 2,VC,2008,Platform,Capcom  ,Capcom  ,9.5,,,,,,
2252,Mega Man 3,PSN,2011,Platform,Sony Computer Entertainment  ,Capcom  ,,,,,,,
2253,Mega Man 3,VC,2008,Platform,Capcom  ,Capcom  ,,,,,,,
2254,Mega Man 3,PC,1992,Platform,Capcom  ,Capcom  ,,,,,,,
2255,Mega Man 4,VC,2010,Platform,Capcom  ,Capcom  ,8.0,,,,,,
2256,Mega Man 5,VC,2011,Platform,Capcom  ,Capcom  ,8.5,,,,,,
2257,Mega Man 5,WiiU,2014,Platform,Capcom  ,Capcom  ,,,,,,,
2258,Mega Man 6,WiiU,2014,Platform,Capcom  ,Capcom  ,,,,,,,
2259,Mega Man 6,3DS,2013,Platform,Capcom  ,Capcom  ,,,,,,,
2260,Mega Man 9,PSN,2008,Platform,Capcom  ,Inti Creates  ,8.0,,,,,,
2261,Mega Man 9,WW,2008,Platform,Capcom  ,Inti Creates  ,8.1,,,,,,
2262,Mega Man 9,XBL,2008,Platform,Capcom  ,Inti Creates  ,8.1,,,,,,
2263,Mega Man Anniversary Collection,GBA,2070,Platform,Unknown  ,Capcom  ,,,,,,,
2264,Mega Man Dual Pack,PSP,2011,Platform,Capcom  ,Capcom  ,,,,,,,
2265,Mega Man Maverick Hunter X,PSN,2009,Platform,Capcom  ,Capcom  ,,,,,,,
2266,Mega Man Powered Up,PSN,N/A,Platform,Unknown  ,Capcom  ,,,,,,,
2267,Mega Man Universe,XBL,N/A,Platform,Unknown  ,Capcom  ,,,,,,,
2268,Mega Man Universe,PSN,N/A,Platform,Unknown  ,Capcom  ,,,,,,,
2269,Mega Man V,GB,1994,Platform,Capcom  ,Capcom  ,,,,,,,
2270,Mega Man X,PC,1995,Platform,Capcom  ,Capcom  ,,,,,,,
2271,Mega Man X,VC,2011,Platform,Capcom  ,Capcom  ,,,,,,,
2272,Mega Man X3,SAT,1996,Platform,Capcom  ,Capcom  ,,,,,,,
2273,Mega Man X3,PS,1997,Platform,Virgin Interactive  ,Capcom  ,,,,,,,
2274,Mega Man X3,PC,1998,Platform,Capcom  ,Capcom  ,,,,,,,
2275,Mega Man X4,PC,1998,Platform,Capcom  ,Capcom  ,,,,,,,
2276,Mega Man X5,PC,2002,Platform,Capcom  ,Capcom  ,,,,,,,
2277,Mega Man X5,PS3,2014,Platform,Unknown  ,Capcom  ,,,,,,,
2278,Mega Man X5,PSV,2014,Platform,Capcom  ,Capcom  ,,,,,,,
2279,Mega Man X6,PC,2002,Platform,Capcom  ,Capcom  ,,,,,,,
2280,Mega Man X8,PC,2005,Platform,Capcom  ,Capcom  ,,,,,,,
2281,Mega Man: Dr. Wily's Revenge,3DS,2011,Platform,Capcom  ,Capcom  ,7.5,,,,,,
2282,Mega Man: The Wily Wars,GEN,1994,Platform,Capcom  ,Capcom  ,,,,,,,
2283,Mega Turrican,VC,2008,Platform,Factor 5  ,Factor 5  ,,,,,,,
2284,Mega Turrican,GEN,1994,Platform,Data East  ,Factor 5  ,,,,,,,
2285,Merlin,GB,2001,Platform,Electronic Arts  ,RFX Interactive  ,,,,,,,
2286,Michael Jackson's Moonwalker,GG,N/A,Platform,Unknown  ,Sega  ,,,,,,,
2287,Michael Jackson's Moonwalker,GEN,1990,Platform,Sega  ,Ultimate Productions  ,,,,,,,
2288,Michael Jackson's Moonwalker,MS,1989,Platform,Sega  ,Sega  ,,,,,,,
2289,Michael Jackson's Moonwalker,VC,N/A,Platform,Unknown  ,Ultimate Productions  ,,,,,,,
2290,Michael Jordan in Chaos in the Windy City,SNES,1994,Platform,Electronic Arts  ,Electronic Arts  ,,,,,,,
2291,Mick & Mack as the Global Gladiators,GEN,1992,Platform,Virgin Interactive  ,Virgin Interactive  ,,,,,,,
2292,Mickey Mania: The Timeless Adventures of Mickey Mouse,GEN,1994,Platform,Sony Imagesoft  ,Traveller's Tales  ,,,,,,,
2293,Mickey Mania: The Timeless Adventures of Mickey Mouse,SNES,1995,Platform,Sony Imagesoft  ,Traveller's Tales  ,,,,,,,
2294,Mickey Mania: The Timeless Adventures of Mickey Mouse,SCD,1994,Platform,Sony Computer Entertainment  ,Traveller's Tales  ,,,,,,,
2295,Mickey Mouse: Magic Wands!,GB,1998,Platform,Nintendo  ,Kemco  ,,,,,,,
2296,Mickey Mousecapade,NES,1988,Platform,Capcom  ,Hudson Soft  ,,,,,,,
2297,Mickey to Donald Magical Adventure 3,SNES,1995,Platform,Capcom  ,Capcom  ,,,,,,,
2298,Mickey's Dangerous Chase,GB,1992,Platform,Capcom  ,Kotobuki Systems  ,,,,,,,
2299,Mickey's Wild Adventure,PS,1996,Platform,Sony Computer Entertainment  ,Traveller's Tales  ,,,,,,,
2300,Mighty Bomb Jack,VC,2007,Platform,Tecmo  ,Tecmo  ,,,,,,,
2301,Mighty Bomb Jack,NES,1987,Platform,Tecmo  ,Tecmo  ,,,,,,,
2302,Mighty Max,SNES,1995,Platform,Ocean  ,Ocean  ,,,,,,,
2303,Mighty Morphin' Power Rangers,GB,1994,Platform,Bandai  ,Tom Create  ,,,,,,,
2304,Mighty No. 9,Linux,2016,Platform,Deep Silver  ,Comcept  ,,,,,,,
2305,Mighty No. 9,PSV,2016,Platform,Deep Silver  ,Comcept  ,,,,,,,
2306,Mighty No. 9,OSX,2016,Platform,Eidos Interactive Ltd  ,Comcept  ,,,,,,,
2307,Mighty No. 9,X360,2016,Platform,Deep Silver  ,Comcept  ,,,,,,,
2308,Mighty No. 9,3DS,2016,Platform,Deep Silver  ,Comcept  ,,,,,,,
2309,Mighty No. 9,PS3,2016,Platform,Deep Silver  ,Comcept  ,,,,,,,
2310,Mighty Switch Force,3DS,2011,Platform,WayForward  ,WayForward Technologies  ,,,,,,,
2311,Mighty Switch Force,PC,2015,Platform,WayForward Technologies  ,WayForward Technologies  ,,,,,,,
