Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
355,Deus Ex,All,2000,Role-Playing,Eidos Interactive  ,Ion Storm  ,,,,,,,
356,Dragon Quest I & II,SNES,1993,Role-Playing,Enix  ,ChunSoft  ,,,,,1.15,0.0,1.15
357,Famicom Jump: Eiyuu Retsuden,NES,1989,Role-Playing,Bandai  ,TOSE  ,,,,,1.1,0.0,1.1
358,Kingdom Come: Deliverance,PC,2018,Role-Playing,Warhorse Studios  ,Warhorse Studios  ,,,,0.03,,0.0,0.03
359,Star Ocean: The Second Story,PS,1999,Role-Playing,Sony Computer Entertainment  ,tri-Ace  ,8.2,,0.26,0.1,0.72,0.02,1.1
360,Untold Legends: Brotherhood of the Blade,PSP,2005,Role-Playing,Sony Online Entertainment  ,Sony Online Entertainment  ,6.5,,0.54,0.33,0.01,0.22,1.09
361,Dragon Ball Z: The Legacy of Goku II,GBA,2003,Role-Playing,Atari  ,Webfoot Technologies  ,7.6,,0.78,0.29,,0.02,1.09
362,Mario & Luigi: Paper Jam,3DS,2016,Role-Playing,Nintendo  ,AlphaDream Corporation  ,7.4,,0.2,0.33,0.27,0.04,0.85
363,Arc the Lad II,PS,1996,Role-Playing,Sony Computer Entertainment  ,ARC Entertainment  ,,,,,0.92,0.13,1.05
364,Titan Quest,PC,2006,Role-Playing,THQ  ,Iron Lore Entertainment  ,7.6,,0.01,0.04,,0.01,0.05
365,Final Fantasy XII: Revenant Wings,DS,2007,Role-Playing,Square Enix  ,Square Enix / Think and Feel Inc.  ,8.2,,0.33,0.41,0.54,0.1,1.37
366,Miitopia,NS,2021,Role-Playing,Nintendo  ,Nintendo  ,,,,,,,
367,Diablo III: Ultimate Evil Edition,XOne,2014,Role-Playing,Blizzard Entertainment  ,Blizzard Entertainment  ,,,0.62,0.32,,0.09,1.04
368,The Elder Scrolls III: Morrowind Game of the Year Edition,XB,2003,Role-Playing,Bethesda Softworks  ,Bethesda Softworks  ,8.3,,0.77,0.22,,0.04,1.03
