Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
1785,Extreme Assault,PC,1997,Simulation,Blue Byte  ,Blue Byte  ,,,,,,,
1786,Extreme Roads USA,PC,2014,Simulation,United Developers  ,United Developers  ,,,,,,,
1787,Extreme Roads USA,OSX,2014,Simulation,United Developers  ,United Developers  ,,,,,,,
1788,F-117 Night Storm,GEN,1993,Simulation,Electronic Arts  ,Rare Ltd.  ,,,,,,,
1789,F-117A Stealth Fighter,NES,1992,Simulation,Microprose  ,MicroProse  ,,,,,,,
1790,F-15 City War,NES,1990,Simulation,American Video Entertainment  ,American Video Entertainment  ,,,,,,,
1791,F-15 Strike Eagle,GB,1993,Simulation,Microprose  ,NMS Software  ,,,,,,,
1792,F-15 Strike Eagle,NES,1992,Simulation,Microprose  ,MicroProse  ,,,,,,,
1793,F-15 Strike Eagle,PC,1985,Simulation,Microprose  ,MicroProse  ,,,,,,,
1794,F-15 Strike Eagle,GG,1993,Simulation,Microprose  ,NMS Software  ,,,,,,,
1795,F-15 Strike Eagle II,GEN,1993,Simulation,Microprose  ,MicroProse  ,,,,,,,
1796,F-15 Strike Eagle II,PC,1991,Simulation,Microprose  ,MicroProse  ,,,,,,,
1797,F-15 Strike Eagle III,PC,1992,Simulation,Microprose  ,MicroProse  ,,,,,,,
1798,F-16 Fighting Falcon,MS,1986,Simulation,Sega  ,Sega  ,,,,,,,
1799,F-16 Multirole Fighter,PC,1998,Simulation,NovaLogic  ,NovaLogic  ,,,,,,,
1800,F-18 Hornet,7800,1988,Simulation,Absolute Entertainment  ,Absolute Entertainment  ,,,,,,,
1801,F-22 Air Dominance Fighter,PC,1997,Simulation,Unknown  ,Digital Image Design  ,,,,,,,
1802,F-22 Raptor,PC,1997,Simulation,NovaLogic  ,NovaLogic  ,,,,,,,
1803,F/A-18 Operation Desert Storm,PC,2005,Simulation,GMX Media   ,GraphSim Entertainment  ,,,,,,,
1804,F24: Stealth Fighter,GBA,2007,Simulation,Majesco  ,Skyworks Technologies  ,3.6,,,,,,
1805,Face Pilot: Fly With Your Nintendo DSi Camera!,DSiW,2010,Simulation,Nintendo  ,HAL Laboratory  ,,,,,,,
1806,Falcon,PCE,1992,Simulation,Spectrum Holobyte  ,Sphere  ,,,,,,,
1807,Falcon,PC,1987,Simulation,Spectrum Holobyte  ,Sphere  ,,,,,,,
1808,Falcon 3.0,PC,1991,Simulation,Spectrum Holobyte  ,Sphere  ,,,,,,,
1809,Falcon 4.0,PC,1998,Simulation,Atari  ,MicroProse  ,,,,,,,
1810,Fallen London,PC,N/A,Simulation,Unknown  ,Failbetter Games  ,,,,,,,
1811,Fallout Shelter,And,2015,Simulation,Bethesda Softworks  ,Bethesda Softworks  ,,,,,,,
1812,Fancy Pocket,GBA,2002,Simulation,Jorudan  ,Jorudan  ,,,,,,,
1813,Farm Frenzy,PSN,2011,Simulation,Alawar Entertainment  ,"Alawar Entertainment, Inc.  ",,,,,,,
1814,Farm Frenzy,DSiW,2011,Simulation,Alawar Entertainment  ,"Alawar Entertainment, Inc.  ",4.0,,,,,,
1815,Farming 2017 - The Simulation,WiiU,2016,Simulation,UIG Entertainment  ,UIG Entertainment  ,,,,,,,
1816,Farming 2017 - The Simulation,PS3,2016,Simulation,UIG Entertainment  ,UIG Entertainment  ,,,,,,,
1817,Farming Simulator 2014,And,2013,Simulation,Giants Software  ,Giants Software  ,,,,,,,
1818,Farming Simulator 2014,3DS,2014,Simulation,Focus Home Interactive  ,Giants Software  ,,,,,,,
1819,Farming Simulator 2015,OSX,2015,Simulation,Focus Home Interactive  ,Giants Software  ,,,,,,,
1820,FarmVille (Facebook),PC,2009,Simulation,Zynga  ,Zynga  ,,,,,,,
1821,Fast Food Tycoon,PC,2000,Simulation,Activision  ,Software 2000  ,,,,,,,
1822,Fast Food Tycoon 2,PC,2001,Simulation,Activision  ,Software 2000  ,,,,,,,
1823,Ferret Monogatari: Watashi no Okini Iri,GB,2000,Simulation,Culture Brain  ,Culture Brain  ,,,,,,,
1824,Fetch it Again!,PC,2007,Simulation,ValuSoft  ,dtp - young entertainment  ,,,,,,,
1825,FIFA Manager 07,PC,2006,Simulation,EA Sports  ,Bright Future GmbH  ,,,,,,,
1826,Fighting Steel: World War II Surface Combat 1939-1942,PC,1999,Simulation,SSI  ,Divide By Zero Software  ,,,,,,,
1827,Figures of Happiness,PC,N/A,Simulation,Unknown  ,G-Collections  ,,,,,,,
1828,Find Love 2: Rhapsody,SAT,1998,Simulation,Daiki  ,Daiki  ,,,,,,,
1829,Fireplacing,WW,2010,Simulation,Korner Entertainment  ,Continental Games  ,,,,,,,
1830,Five Nights at Freddy's,And,N/A,Simulation,Unknown  ,Scott Cawthon  ,,,,,,,
1831,Five Nights at Freddy's 3,PC,2015,Simulation,Scott Cawthon  ,Scott Cawthon  ,,,,,,,
1832,Flanker 2.0,PC,1999,Simulation,SSI  ,Eagle Dynamics  ,,,,,,,
1833,Flanker 2.5,PC,2002,Simulation,Ubisoft  ,Eagle Dynamics  ,,,,,,,
1834,Flight Academy,XB,2002,Simulation,Unknown  ,Aqua Systems  ,,,,,,,
1835,Flight Control,DSiW,2010,Simulation,Firemint  ,Firemint  ,,,,,,,
1836,Flight Control,WW,2011,Simulation,Firemint  ,Firemint  ,8.0,,,,,,
1837,Flight Control HD,PSN,2010,Simulation,Firemint  ,Firemint  ,,,,,,,
1838,Flight Simulator 2000,PC,1999,Simulation,Microsoft  ,Microsoft  ,,,,,,,
1839,Flight Simulator 2002,PC,2001,Simulation,Microsoft  ,Microsoft  ,,,,,,,
