Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
152,Ore wa Shoujo Mangaka,PSP,2012,Visual+Novel,Giza10  ,Giza10  ,,,,,0.02,,0.02
153,Hyakka Yakou,PSV,2015,Visual+Novel,Idea Factory  ,Otomate  ,,,,,0.02,,0.02
154,White Album 2: Shiawase no Mukougawa,PSV,2013,Visual+Novel,Aqua Plus  ,Aqua Plus  ,,,,,0.02,,0.02
155,Storm Lover 2nd,PSP,2013,Visual+Novel,D3Publisher  ,Vridge Inc.  ,,,,,0.02,,0.02
156,Arcana Famiglia 2,PSP,2013,Visual+Novel,Comfort  ,HuneX  ,,,,,0.02,,0.02
157,Gaku * Ou: The Royal Seven Stars + Meteor,PSP,2013,Visual+Novel,Alchemist  ,Lump of Sugar  ,,,,,0.02,,0.02
158,Storm Lover Kai!!,PSP,2012,Visual+Novel,D3Publisher  ,Vridge Inc.  ,,,,,0.02,,0.02
159,Tiger & Bunny: Hero's Day,PSP,2013,Visual+Novel,D3Publisher  ,D3Publisher  ,,,,,0.02,,0.02
160,"Sharin no Kuni, Himawari no Shoujo",X360,2010,Visual+Novel,5pb  ,5pb. Games  ,,,,,0.02,,0.02
161,Pioneer no Banshou,PSV,2018,Visual+Novel,Idea Factory  ,Idea Factory  ,,,,,0.02,,0.02
162,Harukanaru Toki no Naka de Ultimate,PSV,2018,Visual+Novel,Koei Tecmo  ,Koei Tecmo Games  ,,,,,0.01,,0.01
163,Ikemen Sengoku: Toki o Kakeru Koi - Aratanaru Deai,PSV,2018,Visual+Novel,Idea Factory  ,CYBIRD  ,,,,,0.01,,0.01
164,La Corda d'Oro 3,PSV,2018,Visual+Novel,Koei Tecmo  ,Ruby Party  ,,,,,0.01,,0.01
165,The Three Kingdoms Love Story ~ The Art of Otome!,PS2,2011,Visual+Novel,Prototype  ,Prototype  ,,,,,0.01,,0.01
166,Chaos;Head Dual,PSV,2014,Visual+Novel,5pb  ,Genterprise  ,,,,,0.01,,0.01
167,Killer and Strawberry,PSV,2018,Visual+Novel,Broccoli  ,Broccoli  ,,,,,0.01,,0.01
