Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
560,The Settlers: Rise of an Empire,PC,2007,Strategy,Ubisoft  ,Blue Byte  ,,,0.01,0.01,,0.0,0.02
561,Worms 3D,PS2,2004,Strategy,Acclaim Entertainment  ,Team17 Software  ,,,0.06,0.05,,0.02,0.12
562,Worms World Party,PC,2001,Strategy,Titus  ,Team17 Software  ,,,,0.01,,0.0,0.02
563,Worms: Open Warfare,PSP,2006,Strategy,THQ  ,Team17 Software  ,6.9,,0.11,0.43,,0.23,0.77
564,Worms: Open Warfare,DS,2006,Strategy,THQ  ,Team17 Software  ,,,0.05,0.02,,0.01,0.08
565,LEGO Rock Raiders,PS,2000,Strategy,LEGO Media  ,Data Design Interactive  ,,,0.06,0.04,,0.01,0.1
566,"Warhammer 40,000: Dawn of War II - Chaos Rising",PC,2010,Strategy,THQ  ,Relic  ,8.6,,0.08,0.01,,0.01,0.1
567,SNK vs. Capcom Card Fighters DS,DS,2007,Strategy,SNK Playmore  ,SNK Playmore Corporation  ,,,0.09,,,0.01,0.1
568,Glory Days 2,DS,2007,Strategy,Secret Stash Games  ,Odenis Studio  ,,,0.08,0.0,,0.01,0.09
569,Neo Atlas,PS,1998,Strategy,ArtDink  ,Flip Flop Production  ,,,,,0.09,0.01,0.09
570,Populous DS,DS,2008,Strategy,Xseed Games  ,Genki  ,,,0.07,0.0,0.02,0.01,0.09
571,Langrisser V: The End of Legend,SAT,1998,Strategy,NCS  ,Career Soft  ,,,,,0.09,,0.09
572,Populous: The Beginning,PS,1999,Strategy,Electronic Arts  ,Bullfrog Productions  ,,,0.05,0.04,,0.01,0.09
573,Dungeons,PC,2011,Strategy,Kalypso  ,Kalypso Media  ,6.5,,0.07,0.02,,0.01,0.09
574,Chess,PS,2001,Strategy,Agetec  ,Success  ,,,0.05,0.04,,0.01,0.09
575,X-COM: UFO Defense,PS,1995,Strategy,Microprose  ,MicroProse  ,,,0.05,0.04,,0.01,0.09
576,Wordmaster,DS,2008,Strategy,"Destination Software, Inc  ",N/A  ,,,0.09,0.0,,0.01,0.09
577,Nobunaga's Ambition: Sphere of Influence - Ascension,PS4,2016,Strategy,Tecmo Koei  ,Koei Tecmo Games  ,,,0.03,,0.06,0.01,0.09
578,Yu-Gi-Oh! GX: The Beginning of Destiny (US sales),PS2,2008,Strategy,Konami  ,Konami  ,,,0.05,0.04,,0.01,0.09
579,Grand Ages: Medieval,PS4,2015,Strategy,Kalypso Media  ,Gaming Minds Studios  ,,,,0.05,0.03,0.01,0.09
580,Return Fire,PS,1996,Strategy,Time Warner Interactive  ,Silent Software Inc.  ,,,0.05,0.03,,0.01,0.09
581,Hearts of Iron III,PC,2009,Strategy,Paradox Interactive   ,Paradox Interactive  ,7.9,,0.04,0.04,,0.01,0.09
582,Romance of the Three Kingdoms X,PS2,2005,Strategy,KOEI  ,Koei  ,,,0.04,0.03,,0.01,0.09
583,Brigandine: The Legend of Forsena,PS,1998,Strategy,Atlus  ,Hearty Robin  ,,,0.05,0.03,,0.01,0.09
584,Tom Clancy's EndWar,DS,2008,Strategy,Ubisoft  ,Funatics Software  ,,,0.08,0.01,,0.01,0.09
585,Lock's Quest,DS,2008,Strategy,THQ  ,5TH Cell  ,,,0.08,0.0,0.0,0.01,0.09
586,Cardfight!! Vanguard: Ride to Victory!!,3DS,2013,Strategy,FuRyu Corporation  ,FuRyu  ,,,,,0.09,,0.09
587,Super Robot Taisen MX Portable,PSP,2005,Strategy,Banpresto  ,Banpresto  ,,,,,0.09,,0.09
588,Zoids Assault,X360,2008,Strategy,Atlus  ,Atlus Co.  ,5.2,,0.08,,,0.01,0.09
589,Star Wars: Empire at War - Gold Pack,PC,2007,Strategy,LucasArts  ,Petroglyph Games  ,,,0.01,0.07,,0.01,0.09
590,Supreme Commander,X360,2008,Strategy,Aspyr  ,Gas Powered Games  ,5.7,,0.07,0.01,,0.01,0.09
591,R-Type Command,PSP,2008,Strategy,Atlus  ,Irem Software Engineering  ,,,0.07,0.0,0.01,0.02,0.09
592,Black & White 2,PC,2005,Strategy,Electronic Arts  ,Lionhead Studios  ,,,0.01,0.07,,0.01,0.09
593,Romance of the Three Kingdoms XII,PS3,2012,Strategy,Tecmo Koei  ,Tecmo Koei Games  ,,,,,0.09,,0.09
594,Nobunaga's Ambition: Iron Triangle,PS2,2009,Strategy,KOEI  ,Koei  ,,,0.04,0.03,,0.01,0.09
595,Theme Hospital,PS,1998,Strategy,Electronic Arts  ,Krisalis Software  ,7.2,,0.03,0.02,0.03,0.01,0.09
596,MetropolisMania,PS2,2002,Strategy,Natsume  ,Indi Software  ,6.8,,0.04,0.03,,0.01,0.09
597,Onimusha Tactics,GBA,2003,Strategy,Capcom  ,Capcom  ,,,0.06,0.02,,0.0,0.08
598,Aliens versus Predator: Extinction,XB,2003,Strategy,Electronic Arts  ,Zono Incorporated  ,,,0.06,0.02,,0.0,0.08
599,Elemental: War of Magic,PC,2010,Strategy,Stardock  ,Stardock  ,,,0.0,,,0.0,0.0
600,Star Wars: Empire at War,PC,2006,Strategy,LucasArts  ,Petroglyph Games  ,,,0.01,0.07,,0.01,0.08
601,RollerCoaster Tycoon 3: Platinum,PC,2006,Strategy,Atari  ,Frontier Developments  ,,,0.01,0.06,,0.01,0.08
602,Nobunaga's Ambition: Rise to Power,PS2,2008,Strategy,KOEI  ,Koei  ,,,,,0.08,,0.08
603,Bakugan: Rise of the Resistance,DS,2011,Strategy,Activision  ,Activision  ,,,0.05,0.02,,0.01,0.08
604,Black/Matrix,SAT,1998,Strategy,NEC Interchannel   ,Flight-Plan  ,,,,,0.08,0.0,0.08
605,Hearts of Iron II,PC,2005,Strategy,Paradox Interactive   ,Paradox Interactive  ,8.3,,,,,,
606,Heroes of Mana,DS,2007,Strategy,Square Enix  ,Brownie Brown  ,6.4,,0.07,0.01,0.05,0.01,0.14
607,Ken to Mahou to Gakuen Mono. Final: Shinnyusei wa Ohimesama,PSP,2011,Strategy,Acquire  ,ZeroDiv  ,,,,,0.08,,0.08
608,Ultimate Card Games DS,DS,2008,Strategy,Telegames  ,Unknown  ,,,0.07,,,0.01,0.08
609,"Warhammer 40,000: Dawn of War II - Retribution",PC,2011,Strategy,THQ  ,Relic Entertainment  ,7.9,,,0.06,,0.02,0.08
610,Famicom Mini: SD Gundam World Gachapon Senshi - Scramble Wars,GBA,2004,Strategy,Nintendo  ,Bandai  ,,,,,0.08,0.0,0.08
611,Goblin Commander: Unleash the Horde,XB,2003,Strategy,Jaleco  ,Jaleco Entertainment  ,,,0.06,0.02,,0.0,0.08
612,A-Train,PS,1996,Strategy,Maxis  ,ArtDink  ,6.0,,0.02,0.01,0.04,0.01,0.08
613,Worms: A Space Oddity,Wii,2008,Strategy,THQ  ,Team17 Software  ,,,0.06,0.02,,0.01,0.08
614,Future Card Buddyfight: Yuujou no Bakunetsu Fight!,3DS,2015,Strategy,FuRyu Corporation  ,FuRyu  ,,,,,0.08,,0.08
615,FabStyle,DS,2011,Strategy,Tecmo Koei  ,Tecmo Koei Games  ,,,,,0.08,,0.08
616,GOTHA: Ismailia Seneki,SAT,1995,Strategy,Sega  ,Micronet  ,,,,,0.08,0.0,0.08
617,Dragon Force II: Kamisarishi Daichi ni,SAT,1998,Strategy,Sega  ,Chime  ,,,,,0.08,0.0,0.08
618,Quo Vadis,SAT,1995,Strategy,Glams  ,The EDGE Interactive  ,,,,,0.08,0.0,0.08
619,Stella Deus: The Gate of Eternity,PS2,2005,Strategy,Atlus  ,Pinegrow  ,7.3,,0.04,0.03,,0.01,0.08
